num_distr,mouse.t+B1:B193ime,mouse.clicked_name,,,,
5,1.6751081,target',,,,
5,1.7173238,target',,,,
5,1.2957883,target',,,,
5,1.3644393,target',,,,
5,1.1900989,target',,,,
5,[0.9249604000360705],[],,,,
5,[1.045299299992621],[],,,,
5,1.2634297,target',,,,
5,0.9998176,target',,,,
5,1.1165696,target',,,,
5,0.9982417,target',,,,
5,1.4169504,target',,,,
5,1.4668502,target',,,,
5,1.1099057,target',,,,
5,1.7626217,target',,,,
5,1.2940816,target',,,,
5,1.3971416,target',,,,
5,1.0685052,target',,,,
5,1.1803784,target',,,,
5,1.7638646,target',,,,
5,1.0605895,target',,,,
5,0.9007974,target',,,,
5,1.430263,target',,,,
5,1.2470434,target',,,,
5,1.1180722,target',,,,
5,1.0144883,target',,,,
5,0.8983088,target',,,,
5,0.7589905,target',,,,
5,0.8642334,target',,,,
5,1.0292193,target',,,,
5,1.3020544,target',,,,
5,1.0988735,target',,,,
5,0.9136359,target',,,,
5,1.3826628,target',,,,
5,1.1137975,target',,,,
5,[0.865049900021404],[],,,,
5,1.1662124,target',,,,
5,0.9189933,target',,,,
5,[0.833450099977199],[],,,,
5,0.9193306,target',,,,
5,[1.2004032999975607],[],,,,
5,1.4534595,target',,,,
5,1.0280316,target',,,,
5,1.285131,target',,,,
5,1.0857432,target',,,,
5,1.5831422,target',,,,
5,1.3676816,target',,,,
5,1.2795501,target',,,,
5,1.0972259,target',,,,
5,0.7842224,target',,,,
5,1.7140676,target',,,,
5,1.4521271,target',,,,
5,1.147356,target',,,,
5,1.7799633,target',,,,
5,0.8637461,target',,,,
5,1.1027866,target',,,,
5,1.2981396,target',,,,
5,1.5435875,target',,,,
5,1.7818841,target',,,,
5,1.1996755,target',,,,
5,1.1143287,target',,,,
5,0.9178792,target',,,,
5,1.0668139,target',,,,
5,2.3616252,target',,,,
5,1.9638517,target',,,,
5,1.7080626,target',,,,
5,1.0875285,target',,,,
5,1.0137371,target',,,,
5,1.2036236,target',,,,
5,0.9681931,target',,,,
5,1.1496356,target',,,,
5,1.084363,target',,,,
5,1.0876491,target',,,,
5,1.1323793,target',,,,
5,1.4172055,target',,,,
5,0.96438,target',,,,
5,1.1760627,target',,,,
5,1.0598862,target',,,,
5,1.5701804,target',,,,
5,1.2193428,target',,,,
5,1.0668544,target',,,,
5,1.1527666,target',,,,
5,0.6834722,target',,,,
5,0.9701837,target',,,,
5,1.3187518,target',,,,
5,1.2381552,target',,,,
5,[1.0761834000004455],[],,,,
5,1.3783073,target',,,,
5,1.0994186,target',,,,
5,1.7844729,target',,,,
5,0.9009229,target',,,,
5,0.9434107,target',,,,
5,1.2451331,target',,,,
5,1.3168635,target',,,,
5,1.7359873,target',,,,
5,1.2753197,target',,,,
5,1.0353116,target',,,,
5,1.1857272,target',,,,
5,1.7356612,target',,,,
5,1.1516091,target',,,,
5,2.4349712,target',,,,
5,[1.1149230001028627],[],,,,
5,1.5273353,target',,,,
5,1.2451779,target',,,,
5,[1.4846928999759257],[],,,,
5,2.0500214,target',,,,
5,1.3502352,target',,,,
5,1.3481055,target',,,,
5,1.373564,target',,,,
5,1.0988784,target',,,,
5,[1.4634410999715328],[],,,,
5,1.9303787,target',,,,
5,[1.2312023998238146],[],,,,
5,1.5505779,target',,,,
5,1.5624423,target',,,,
5,1.2493214,target',,,,
5,1.5998921,target',,,,
5,[1.2331107000354677],[],,,,
5,1.3650335,target',,,,
5,1.2135372,target',,,,
5,[1.096242800122127],[],,,,
5,[0.7877105998340994],[],,,,
5,[1.1627125998493284],[],,,,
5,1.4148524,target',,,,
5,1.6484341,target',,,,
5,1.5781506,target',,,,
5,1.3326279,target',,,,
5,1.3821506,target',,,,
5,1.0867164,target',,,,
5,[0.9505854998715222],[],,,,
5,1.447568,target',,,,
5,1.0147137,target',,,,
5,[1.8453007000498474],[],,,,
5,1.5358433,target',,,,
5,[1.6498426001053303],[],,,,
5,1.4486453,target',,,,
5,1.2782544,target',,,,
5,[1.416147500043735],[],,,,
5,[0.9947532000951469],[],,,,
5,1.0680214,target',,,,
5,1.4168463,target',,,,
5,1.2350881,target',,,,
5,1.2999692,target',,,,
5,1.5673502,target',,,,
5,1.3652291,target',,,,
5,[1.4458045000210404],[],,,,
5,[1.2106832000426948],[],,,,
5,1.0302342,target',,,,
5,1.4802208,target',,,,
5,1.4062154,target',,,,
5,1.2997321,target',,,,
5,[1.2843480000738055],[],,,,
5,1.4206076,target',,,,
5,1.0789031,target',,,,
5,1.0956897,target',,,,
5,1.0135926,target',,,,
5,1.230751,target',,,,
5,[1.0452258000150323],[],,,,
